id,date
US10adam006,2012-12-20
US10adam012,2012-12-19
US10adam028,2012-12-28
US10adam032,2012-12-20
US10adam036,2012-12-20
US10adam047,2013-02-21
US10adam053,2012-12-17
US10bann009,2012-11-11
US10boon005,2012-12-20
US10boon010,2012-10-25
US10box_001,2012-10-25
US10box_003,2012-10-06
US10box_009,2013-01-28
US10brow005,2012-10-25
US10brow008,2012-10-25
US10buff002,2013-01-01
US10buff004,2013-01-30
US10buff006,2012-10-25
US10buff007,2012-11-27
US10buff008,2013-02-16
US10buff013,2013-02-21
US10buff019,2013-02-21
US10buff034,2012-12-20
US10burt002,2012-12-20
US10butl005,2012-12-20
US10butl008,2012-11-27
US10butl011,2012-12-20
US10cass001,2012-12-20
US10ceda002,2012-10-25
US10ceda009,2012-12-05
US10ceda011,2012-10-25
US10ceda013,2012-12-09
US10chas002,2012-10-07
US10chas003,2012-10-06
US10chas012,2012-10-07
US10chas016,2012-10-07
US10chas025,2012-12-16
US10chas027,2012-12-16
US10chas029,2012-12-16
US10cher009,2012-10-25
US10cher016,2012-10-25
US10cher018,2012-10-25
US10cher026,2012-10-25
US10chey002,2012-10-06
US10chey005,2012-10-06
US10chey016,2012-10-06
US10chey019,2012-10-06
US10chey021,2012-10-06
US10chey027,2012-10-07
US10chey028,2012-10-07
US10chey046,2012-10-06
US10chey053,2012-10-25
US10clay002,2012-12-20
US10clay004,2012-12-20
US10clay008,2012-12-20
US10clay029,2012-12-20
US10colf001,2012-12-19
US10colf002,2012-12-20
US10cumi003,2012-12-28
US10cumi012,2012-12-08
US10cust005,2012-10-25
US10cust009,2012-10-25
US10cust010,2012-12-20
US10cust012,2012-10-25
US10cust014,2012-10-25
US10cust015,2012-10-25
US10cust020,2012-10-25
US10cust022,2012-10-25
US10dawe013,2013-01-29
US10dawe015,2012-10-05
US10dawe025,2012-10-25
US10dawe026,2012-10-05
US10daws001,2012-10-25
US10daws002,2012-10-25
US10daws010,2012-10-25
US10daws011,2012-10-25
US10daws013,2012-10-25
US10daws017,2012-12-19
US10daws018,2012-10-07
US10deue004,2012-10-07
US10deue012,2012-12-20
US10deue021,2012-10-06
US10dodg012,2012-12-28
US10doug002,2012-12-17
US10doug006,2012-12-17
US10doug014,2012-12-17
US10doug018,2012-12-20
US10doug025,2013-02-22
US10doug031,2013-02-22
US10doug035,2012-12-20
US10dund003,2012-08-08
US10dund005,2012-10-07
US10dund010,2012-10-06
US10dund011,2012-10-07
US10dund017,2012-10-06
US10fill001,2012-12-19
US10fill002,2012-12-20
US10fill003,2012-12-20
US10fill006,2012-12-20
US10fill007,2012-12-20
US10fill008,2012-12-20
US10fill011,2013-01-30
US10fill014,2012-12-20
US10fran002,2012-12-28
US10fran007,2012-12-20
US10fran013,2012-12-20
US10fran014,2012-12-20
US10fran015,2013-02-21
US10fron002,2012-10-25
US10fron003,2013-02-20
US10fron004,2012-12-16
US10fron005,2012-12-16
US10fron007,2012-12-16
US10fron008,2012-12-20
US10fron010,2012-10-25
US10fron011,2012-12-16
US10fron016,2012-12-16
US10fron017,2013-02-21
US10fron018,2013-02-21
US10furn004,2012-12-16
US10furn008,2012-12-20
US10furn010,2013-01-01
US10furn014,2012-12-19
US10furn018,2012-12-20
US10gage003,2012-12-20
US10gage012,2012-12-20
US10gage013,2013-01-01
US10gage020,2012-12-20
US10gage035,2013-01-30
US10garf004,2012-10-25
US10garf009,2012-10-25
US10gosp002,2012-12-16
US10gosp004,2012-12-20
US10gree003,2012-08-15
US10gree004,2012-10-25
US10gree007,2012-10-25
US10gree010,2012-10-25
US10hall005,2012-11-27
US10hall006,2012-08-02
US10hall007,2012-12-28
US10hall011,2012-11-26
US10hall018,2012-12-20
US10hall020,2012-12-20
US10hall021,2012-12-20
US10hami001,2012-12-20
US10hami002,2012-12-28
US10hami003,2012-12-17
US10hami005,2012-12-17
US10hami006,2012-12-15
US10hami011,2012-12-17
US10hami017,2012-11-26
US10harl004,2012-12-20
US10harl008,2013-01-01
US10harl012,2012-12-20
US10haye002,2012-10-07
US10haye003,2012-10-25
US10haye004,2012-10-06
US10haye005,2012-12-16
US10haye006,2012-12-16
US10haye008,2012-10-06
US10hitc004,2012-10-06
US10hitc005,2012-12-20
US10hitc022,2012-10-07
US10holt002,2012-10-25
US10holt009,2012-10-25
US10holt010,2012-10-25
US10holt024,2012-10-25
US10holt029,2012-10-25
US10hook002,2012-10-25
US10howa002,2012-10-25
US10howa005,2012-12-20
US10howa007,2012-10-25
US10howa009,2012-10-25
US10jeff003,2012-12-20
US10jeff006,2012-12-20
US10jeff009,2012-12-20
US10jeff014,2012-12-20
US10jeff020,2013-01-01
US10john001,2012-12-20
US10john002,2012-12-20
US10john008,2012-12-20
US10john010,2012-12-20
US10john015,2013-01-01
US10kear005,2012-12-20
US10kear009,2012-12-20
US10kear012,2013-02-22
US10kear013,2012-12-28
US10keit003,2012-12-25
US10keit008,2012-10-07
US10keit009,2012-10-07
US10keit015,2012-10-06
US10knox007,2012-10-25
US10knox018,2012-10-25
US10lanc001,2012-12-20
US10lanc006,2013-01-30
US10lanc007,2012-11-27
US10lanc011,2012-10-17
US10lanc012,2013-01-01
US10lanc013,2012-12-20
US10lanc015,2012-12-20
US10linc003,2012-10-25
US10linc004,2012-10-07
US10linc013,2012-10-25
US10linc019,2012-10-06
US10linc025,2012-12-20
US10linc033,2012-10-07
US10linc036,2012-10-25
US10linc047,2012-12-20
US10linc060,2012-12-20
US10loga002,2012-10-24
US10loga005,2012-10-25
US10loga006,2012-12-21
US10loup003,2012-10-25
US10loup006,2012-10-24
US10madi001,2013-02-22
US10madi006,2012-12-20
US10madi017,2012-10-25
US10merr007,2012-12-20
US10merr009,2012-12-20
US10morr004,2012-10-05
US10morr017,2012-10-25
US10nanc001,2012-12-20
US10nanc003,2012-10-25
US10nema002,2012-12-20
US10nema010,2013-01-30
US10nema013,2013-01-01
US10nuck001,2012-12-20
US10nuck002,2012-12-20
US10nuck003,2012-12-20
US10nuck004,2012-12-20
US10nuck005,2012-12-20
US10nuck014,2012-12-20
US10nuck016,2012-12-20
US10nuck018,2013-02-22
US10nuck021,2012-12-20
US10nuck027,2012-12-20
US10nuck028,2013-01-01
US10otoe008,2012-12-21
US10pawn002,2012-12-20
US10pawn007,2012-12-19
US10pawn009,2012-12-20
US10perk002,2012-12-16
US10perk008,2013-02-21
US10perk009,2012-10-06
